CSDUID,CSD,Period,IndicatorSummaryDescription,Rental Unit Type,UnitOfMeasure,OriginalValue
4819058,Spirit River,2015,Average Residential Rent (2-bedroom units),Bachelor,$,625.00000
4819058,Spirit River,2016,Average Residential Rent (2-bedroom units),Bachelor,$,550.00000
4819058,Spirit River,2017,Average Residential Rent (2-bedroom units),Bachelor,$,625.00000
4819058,Spirit River,2018,Average Residential Rent (2-bedroom units),Bachelor,$,625.00000
4819012,Grande Prairie,1987,Average Residential Rent (2-bedroom units),Bachelor,$,310.00000
4819012,Grande Prairie,1988,Average Residential Rent (2-bedroom units),Bachelor,$,324.00000
4819012,Grande Prairie,1989,Average Residential Rent (2-bedroom units),Bachelor,$,329.00000
4819012,Grande Prairie,1990,Average Residential Rent (2-bedroom units),Bachelor,$,353.00000
4819012,Grande Prairie,1991,Average Residential Rent (2-bedroom units),Bachelor,$,362.00000
4819012,Grande Prairie,1992,Average Residential Rent (2-bedroom units),Bachelor,$,360.00000
4819012,Grande Prairie,1993,Average Residential Rent (2-bedroom units),Bachelor,$,361.00000
4819012,Grande Prairie,1994,Average Residential Rent (2-bedroom units),Bachelor,$,375.00000
4819012,Grande Prairie,1995,Average Residential Rent (2-bedroom units),Bachelor,$,410.00000
4819012,Grande Prairie,1996,Average Residential Rent (2-bedroom units),Bachelor,$,403.00000
4819012,Grande Prairie,1997,Average Residential Rent (2-bedroom units),Bachelor,$,441.00000
4819012,Grande Prairie,1998,Average Residential Rent (2-bedroom units),Bachelor,$,464.00000
4819012,Grande Prairie,1999,Average Residential Rent (2-bedroom units),Bachelor,$,452.00000
4819012,Grande Prairie,2000,Average Residential Rent (2-bedroom units),Bachelor,$,444.00000
4819012,Grande Prairie,2001,Average Residential Rent (2-bedroom units),Bachelor,$,483.00000
4819012,Grande Prairie,2002,Average Residential Rent (2-bedroom units),Bachelor,$,501.00000
4819012,Grande Prairie,2003,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4819012,Grande Prairie,2004,Average Residential Rent (2-bedroom units),Bachelor,$,532.00000
4819012,Grande Prairie,2005,Average Residential Rent (2-bedroom units),Bachelor,$,554.00000
4819012,Grande Prairie,2006,Average Residential Rent (2-bedroom units),Bachelor,$,688.00000
4819012,Grande Prairie,2007,Average Residential Rent (2-bedroom units),Bachelor,$,802.00000
4819012,Grande Prairie,2008,Average Residential Rent (2-bedroom units),Bachelor,$,717.00000
4819012,Grande Prairie,2009,Average Residential Rent (2-bedroom units),Bachelor,$,669.00000
4819012,Grande Prairie,2010,Average Residential Rent (2-bedroom units),Bachelor,$,633.00000
4819012,Grande Prairie,2011,Average Residential Rent (2-bedroom units),Bachelor,$,650.00000
4819012,Grande Prairie,2012,Average Residential Rent (2-bedroom units),Bachelor,$,724.00000
4819012,Grande Prairie,2013,Average Residential Rent (2-bedroom units),Bachelor,$,797.00000
4819012,Grande Prairie,2014,Average Residential Rent (2-bedroom units),Bachelor,$,831.00000
4819012,Grande Prairie,2015,Average Residential Rent (2-bedroom units),Bachelor,$,858.00000
4819012,Grande Prairie,2016,Average Residential Rent (2-bedroom units),Bachelor,$,735.00000
4819012,Grande Prairie,2017,Average Residential Rent (2-bedroom units),Bachelor,$,740.00000
4819012,Grande Prairie,2018,Average Residential Rent (2-bedroom units),Bachelor,$,806.00000
4819012,Grande Prairie,2019,Average Residential Rent (2-bedroom units),Bachelor,$,841.00000
4819012,Grande Prairie,2020,Average Residential Rent (2-bedroom units),Bachelor,$
4819012,Grande Prairie,2021,Average Residential Rent (2-bedroom units),Bachelor,$,823.67000
4819012,Grande Prairie,2022,Average Residential Rent (2-bedroom units),Bachelor,$,838.33000
4819014,Sexsmith,2005,Average Residential Rent (2-bedroom units),Bachelor,$,400.00000
4819014,Sexsmith,2006,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4819014,Sexsmith,2007,Average Residential Rent (2-bedroom units),Bachelor,$,450.00000
4819014,Sexsmith,2008,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4819014,Sexsmith,2011,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4819014,Sexsmith,2012,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4819038,Peace River,2005,Average Residential Rent (2-bedroom units),Bachelor,$,406.00000
4819038,Peace River,2006,Average Residential Rent (2-bedroom units),Bachelor,$,464.00000
4819038,Peace River,2007,Average Residential Rent (2-bedroom units),Bachelor,$,468.00000
4819038,Peace River,2008,Average Residential Rent (2-bedroom units),Bachelor,$,512.00000
4819038,Peace River,2009,Average Residential Rent (2-bedroom units),Bachelor,$,548.00000
4819038,Peace River,2010,Average Residential Rent (2-bedroom units),Bachelor,$,544.00000
4819038,Peace River,2011,Average Residential Rent (2-bedroom units),Bachelor,$,573.00000
4819038,Peace River,2012,Average Residential Rent (2-bedroom units),Bachelor,$,603.00000
4819038,Peace River,2013,Average Residential Rent (2-bedroom units),Bachelor,$,653.00000
4819038,Peace River,2014,Average Residential Rent (2-bedroom units),Bachelor,$,679.00000
4819038,Peace River,2015,Average Residential Rent (2-bedroom units),Bachelor,$,702.00000
4819038,Peace River,2016,Average Residential Rent (2-bedroom units),Bachelor,$,766.00000
4819038,Peace River,2017,Average Residential Rent (2-bedroom units),Bachelor,$,639.00000
4819038,Peace River,2018,Average Residential Rent (2-bedroom units),Bachelor,$,812.00000
4819038,Peace River,2021,Average Residential Rent (2-bedroom units),Bachelor,$,698.00000
4811031,Drayton Valley,2005,Average Residential Rent (2-bedroom units),Bachelor,$,469.00000
4811031,Drayton Valley,2006,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4811031,Drayton Valley,2007,Average Residential Rent (2-bedroom units),Bachelor,$,553.00000
4811031,Drayton Valley,2008,Average Residential Rent (2-bedroom units),Bachelor,$,558.00000
4811031,Drayton Valley,2009,Average Residential Rent (2-bedroom units),Bachelor,$,554.00000
4811031,Drayton Valley,2010,Average Residential Rent (2-bedroom units),Bachelor,$,588.00000
4811031,Drayton Valley,2011,Average Residential Rent (2-bedroom units),Bachelor,$,651.00000
4811031,Drayton Valley,2012,Average Residential Rent (2-bedroom units),Bachelor,$,670.00000
4811031,Drayton Valley,2013,Average Residential Rent (2-bedroom units),Bachelor,$,795.00000
4811031,Drayton Valley,2014,Average Residential Rent (2-bedroom units),Bachelor,$,712.00000
4811031,Drayton Valley,2015,Average Residential Rent (2-bedroom units),Bachelor,$,770.00000
4811031,Drayton Valley,2016,Average Residential Rent (2-bedroom units),Bachelor,$,668.00000
4811031,Drayton Valley,2017,Average Residential Rent (2-bedroom units),Bachelor,$,669.00000
4811031,Drayton Valley,2018,Average Residential Rent (2-bedroom units),Bachelor,$,644.00000
4811031,Drayton Valley,2021,Average Residential Rent (2-bedroom units),Bachelor,$,633.00000
4810039,Lloydminster (Part),1987,Average Residential Rent (2-bedroom units),Bachelor,$,299.00000
4810039,Lloydminster (Part),1988,Average Residential Rent (2-bedroom units),Bachelor,$,312.00000
4810039,Lloydminster (Part),1989,Average Residential Rent (2-bedroom units),Bachelor,$,257.00000
4810039,Lloydminster (Part),1990,Average Residential Rent (2-bedroom units),Bachelor,$,267.00000
4810039,Lloydminster (Part),1991,Average Residential Rent (2-bedroom units),Bachelor,$,320.00000
4810039,Lloydminster (Part),1992,Average Residential Rent (2-bedroom units),Bachelor,$,341.00000
4810039,Lloydminster (Part),1993,Average Residential Rent (2-bedroom units),Bachelor,$,364.00000
4810039,Lloydminster (Part),1994,Average Residential Rent (2-bedroom units),Bachelor,$,308.00000
4810039,Lloydminster (Part),1995,Average Residential Rent (2-bedroom units),Bachelor,$,315.00000
4810039,Lloydminster (Part),1996,Average Residential Rent (2-bedroom units),Bachelor,$,315.00000
4810039,Lloydminster (Part),1997,Average Residential Rent (2-bedroom units),Bachelor,$,337.00000
4810039,Lloydminster (Part),1998,Average Residential Rent (2-bedroom units),Bachelor,$,335.00000
4810039,Lloydminster (Part),1999,Average Residential Rent (2-bedroom units),Bachelor,$,336.00000
4810039,Lloydminster (Part),2000,Average Residential Rent (2-bedroom units),Bachelor,$,344.00000
4810039,Lloydminster (Part),2001,Average Residential Rent (2-bedroom units),Bachelor,$
4810039,Lloydminster (Part),2002,Average Residential Rent (2-bedroom units),Bachelor,$,380.00000
4810039,Lloydminster (Part),2003,Average Residential Rent (2-bedroom units),Bachelor,$,403.00000
4810039,Lloydminster (Part),2004,Average Residential Rent (2-bedroom units),Bachelor,$
4810039,Lloydminster (Part),2005,Average Residential Rent (2-bedroom units),Bachelor,$
4810039,Lloydminster (Part),2006,Average Residential Rent (2-bedroom units),Bachelor,$,432.50000
4810039,Lloydminster (Part),2007,Average Residential Rent (2-bedroom units),Bachelor,$,488.50000
4810039,Lloydminster (Part),2008,Average Residential Rent (2-bedroom units),Bachelor,$,574.50000
4810039,Lloydminster (Part),2009,Average Residential Rent (2-bedroom units),Bachelor,$,525.00000
4810039,Lloydminster (Part),2010,Average Residential Rent (2-bedroom units),Bachelor,$,610.00000
4810039,Lloydminster (Part),2011,Average Residential Rent (2-bedroom units),Bachelor,$,664.00000
4810039,Lloydminster (Part),2012,Average Residential Rent (2-bedroom units),Bachelor,$,661.00000
4810039,Lloydminster (Part),2013,Average Residential Rent (2-bedroom units),Bachelor,$,689.00000
4810039,Lloydminster (Part),2014,Average Residential Rent (2-bedroom units),Bachelor,$,755.00000
4810039,Lloydminster (Part),2015,Average Residential Rent (2-bedroom units),Bachelor,$,742.00000
4810039,Lloydminster (Part),2016,Average Residential Rent (2-bedroom units),Bachelor,$,659.00000
4810039,Lloydminster (Part),2017,Average Residential Rent (2-bedroom units),Bachelor,$,677.00000
4810039,Lloydminster (Part),2018,Average Residential Rent (2-bedroom units),Bachelor,$,653.00000
4810039,Lloydminster (Part),2019,Average Residential Rent (2-bedroom units),Bachelor,$,582.00000
4810039,Lloydminster (Part),2020,Average Residential Rent (2-bedroom units),Bachelor,$,621.50000
4810039,Lloydminster (Part),2021,Average Residential Rent (2-bedroom units),Bachelor,$,656.00000
4810039,Lloydminster (Part),2022,Average Residential Rent (2-bedroom units),Bachelor,$,703.00000
4811049,Spruce Grove,1987,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1987,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1988,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1989,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1990,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1991,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1992,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1993,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1994,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1995,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1996,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1997,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1998,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,1999,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2000,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2001,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2002,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2003,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2004,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2005,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2006,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2007,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2008,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2009,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2010,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2011,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2012,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2013,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2014,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2015,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2016,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2017,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2018,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2019,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2020,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2021,Average Residential Rent (2-bedroom units),Bachelor,$
4817095,Mackenzie County,2022,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1987,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1988,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1989,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1990,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1991,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1992,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1993,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1994,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1995,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1996,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1997,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1998,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,1999,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2000,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2001,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2002,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2003,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2004,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2005,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2006,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2007,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2008,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2009,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2010,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2011,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2012,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2013,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2014,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2015,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2016,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2017,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2018,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2019,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2020,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2021,Average Residential Rent (2-bedroom units),Bachelor,$
4815023,Canmore,2022,Average Residential Rent (2-bedroom units),Bachelor,$
4818002,Fox Creek,2005,Average Residential Rent (2-bedroom units),Bachelor,$,412.00000
4818002,Fox Creek,2006,Average Residential Rent (2-bedroom units),Bachelor,$,480.00000
4818002,Fox Creek,2007,Average Residential Rent (2-bedroom units),Bachelor,$,563.00000
4818002,Fox Creek,2008,Average Residential Rent (2-bedroom units),Bachelor,$,595.00000
4818002,Fox Creek,2009,Average Residential Rent (2-bedroom units),Bachelor,$,598.00000
4818002,Fox Creek,2010,Average Residential Rent (2-bedroom units),Bachelor,$,598.00000
4818002,Fox Creek,2011,Average Residential Rent (2-bedroom units),Bachelor,$,550.00000
4818002,Fox Creek,2012,Average Residential Rent (2-bedroom units),Bachelor,$,550.00000
4818002,Fox Creek,2013,Average Residential Rent (2-bedroom units),Bachelor,$,516.00000
4818002,Fox Creek,2014,Average Residential Rent (2-bedroom units),Bachelor,$,733.00000
4818002,Fox Creek,2015,Average Residential Rent (2-bedroom units),Bachelor,$,783.00000
4818002,Fox Creek,2016,Average Residential Rent (2-bedroom units),Bachelor,$,750.00000
4818002,Fox Creek,2017,Average Residential Rent (2-bedroom units),Bachelor,$,967.00000
4818002,Fox Creek,2021,Average Residential Rent (2-bedroom units),Bachelor,$,900.00000
4818005,Grande Cache,2005,Average Residential Rent (2-bedroom units),Bachelor,$,375.00000
4818005,Grande Cache,2006,Average Residential Rent (2-bedroom units),Bachelor,$,475.00000
4818005,Grande Cache,2007,Average Residential Rent (2-bedroom units),Bachelor,$,525.00000
4818005,Grande Cache,2008,Average Residential Rent (2-bedroom units),Bachelor,$,646.00000
4818005,Grande Cache,2009,Average Residential Rent (2-bedroom units),Bachelor,$,580.00000
4818005,Grande Cache,2010,Average Residential Rent (2-bedroom units),Bachelor,$,597.00000
4818005,Grande Cache,2011,Average Residential Rent (2-bedroom units),Bachelor,$,598.00000
4818005,Grande Cache,2012,Average Residential Rent (2-bedroom units),Bachelor,$,675.00000
4818005,Grande Cache,2013,Average Residential Rent (2-bedroom units),Bachelor,$,680.00000
4818005,Grande Cache,2014,Average Residential Rent (2-bedroom units),Bachelor,$,546.00000
4818005,Grande Cache,2015,Average Residential Rent (2-bedroom units),Bachelor,$,588.00000
4818005,Grande Cache,2016,Average Residential Rent (2-bedroom units),Bachelor,$,583.00000
4818005,Grande Cache,2018,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4818018,Valleyview,2005,Average Residential Rent (2-bedroom units),Bachelor,$,384.00000
4818018,Valleyview,2006,Average Residential Rent (2-bedroom units),Bachelor,$,384.00000
4818018,Valleyview,2007,Average Residential Rent (2-bedroom units),Bachelor,$,433.00000
4818018,Valleyview,2008,Average Residential Rent (2-bedroom units),Bachelor,$,475.00000
4818018,Valleyview,2009,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4818018,Valleyview,2010,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4818018,Valleyview,2011,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4818018,Valleyview,2012,Average Residential Rent (2-bedroom units),Bachelor,$,550.00000
4818018,Valleyview,2013,Average Residential Rent (2-bedroom units),Bachelor,$,575.00000
4818018,Valleyview,2014,Average Residential Rent (2-bedroom units),Bachelor,$,642.00000
4818018,Valleyview,2015,Average Residential Rent (2-bedroom units),Bachelor,$,650.00000
4818018,Valleyview,2016,Average Residential Rent (2-bedroom units),Bachelor,$,670.00000
4818018,Valleyview,2017,Average Residential Rent (2-bedroom units),Bachelor,$,660.00000
4818018,Valleyview,2018,Average Residential Rent (2-bedroom units),Bachelor,$,690.00000
4818018,Valleyview,2021,Average Residential Rent (2-bedroom units),Bachelor,$,750.00000
4812002,Cold Lake,1987,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,1988,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,1989,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,1990,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,1991,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,1992,Average Residential Rent (2-bedroom units),Bachelor,$,207.00000
4812002,Cold Lake,1993,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,1994,Average Residential Rent (2-bedroom units),Bachelor,$,301.00000
4812002,Cold Lake,1995,Average Residential Rent (2-bedroom units),Bachelor,$,315.00000
4812002,Cold Lake,1996,Average Residential Rent (2-bedroom units),Bachelor,$,315.00000
4812002,Cold Lake,1997,Average Residential Rent (2-bedroom units),Bachelor,$,348.00000
4812002,Cold Lake,1998,Average Residential Rent (2-bedroom units),Bachelor,$,362.00000
4812002,Cold Lake,1999,Average Residential Rent (2-bedroom units),Bachelor,$,316.00000
4812002,Cold Lake,2000,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2001,Average Residential Rent (2-bedroom units),Bachelor,$,368.00000
4812002,Cold Lake,2002,Average Residential Rent (2-bedroom units),Bachelor,$,386.00000
4812002,Cold Lake,2003,Average Residential Rent (2-bedroom units),Bachelor,$,397.00000
4812002,Cold Lake,2004,Average Residential Rent (2-bedroom units),Bachelor,$,415.00000
4812002,Cold Lake,2005,Average Residential Rent (2-bedroom units),Bachelor,$,468.00000
4812002,Cold Lake,2006,Average Residential Rent (2-bedroom units),Bachelor,$,548.00000
4812002,Cold Lake,2007,Average Residential Rent (2-bedroom units),Bachelor,$,657.00000
4812002,Cold Lake,2008,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2009,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2010,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2011,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2012,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2013,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2014,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2015,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2016,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2017,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2018,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2019,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2020,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2021,Average Residential Rent (2-bedroom units),Bachelor,$
4812002,Cold Lake,2022,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1987,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1988,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1989,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1990,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1991,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1992,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1993,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1994,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1995,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1996,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1997,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1998,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,1999,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2000,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2001,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2002,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2003,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2004,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2005,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2006,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2007,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2008,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2009,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2010,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2011,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2012,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2013,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2014,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2015,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2016,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2017,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2018,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2019,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2020,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2021,Average Residential Rent (2-bedroom units),Bachelor,$
4812004,Bonnyville No. 87,2022,Average Residential Rent (2-bedroom units),Bachelor,$
4812009,Bonnyville,2010,Average Residential Rent (2-bedroom units),Bachelor,$,742.00000
4812009,Bonnyville,2011,Average Residential Rent (2-bedroom units),Bachelor,$,784.00000
4812009,Bonnyville,2012,Average Residential Rent (2-bedroom units),Bachelor,$,898.00000
4812009,Bonnyville,2013,Average Residential Rent (2-bedroom units),Bachelor,$,957.00000
4812009,Bonnyville,2014,Average Residential Rent (2-bedroom units),Bachelor,$,1120.00000
4812009,Bonnyville,2015,Average Residential Rent (2-bedroom units),Bachelor,$,828.00000
4812009,Bonnyville,2016,Average Residential Rent (2-bedroom units),Bachelor,$,728.00000
4812009,Bonnyville,2017,Average Residential Rent (2-bedroom units),Bachelor,$,750.00000
4812009,Bonnyville,2018,Average Residential Rent (2-bedroom units),Bachelor,$,743.00000
4812009,Bonnyville,2021,Average Residential Rent (2-bedroom units),Bachelor,$,703.00000
4812018,St. Paul,2005,Average Residential Rent (2-bedroom units),Bachelor,$,376.00000
4812018,St. Paul,2006,Average Residential Rent (2-bedroom units),Bachelor,$,393.00000
4812018,St. Paul,2007,Average Residential Rent (2-bedroom units),Bachelor,$,403.00000
4812018,St. Paul,2008,Average Residential Rent (2-bedroom units),Bachelor,$,422.00000
4812018,St. Paul,2009,Average Residential Rent (2-bedroom units),Bachelor,$,416.00000
4812018,St. Paul,2010,Average Residential Rent (2-bedroom units),Bachelor,$,500.00000
4812018,St. Paul,2011,Average Residential Rent (2-bedroom units),Bachelor,$,514.00000
4812018,St. Paul,2012,Average Residential Rent (2-bedroom units),Bachelor,$,561.00000
4812018,St. Paul,2013,Average Residential Rent (2-bedroom units),Bachelor,$,582.00000
4812018,St. Paul,2014,Average Residential Rent (2-bedroom units),Bachelor,$,560.00000
4812018,St. Paul,2015,Average Residential Rent (2-bedroom units),Bachelor,$,579.00000
4812018,St. Paul,2016,Average Residential Rent (2-bedroom units),Bachelor,$,617.00000
4812018,St. Paul,2017,Average Residential Rent (2-bedroom units),Bachelor,$,642.00000
4812018,St. Paul,2018,Average Residential Rent (2-bedroom units),Bachelor,$,667.00000
4815007,Crowsnest Pass,2005,Average Residential Rent (2-bedroom units),Bachelor,$,333.00000
4815007,Crowsnest Pass,2006,Average Residential Rent (2-bedroom units),Bachelor,$,333.00000
4815007,Crowsnest Pass,2007,Average Residential Rent (2-bedroom units),Bachelor,$,350.00000
4815007,Crowsnest Pass,2008,Average Residential Rent (2-bedroom units),Bachelor,$,417.00000
